chokepoint_id,chokepoint_name
chokepoint4,Bab el-Mandeb Strait
chokepoint25,Balabac Strait
chokepoint26,Bering Strait
chokepoint17,Bohai Strait
chokepoint3,Bosporus Strait
chokepoint7,Cape of Good Hope
chokepoint9,Dover Strait
chokepoint8,Gibraltar Strait
chokepoint28,Kerch Strait
chokepoint12,Korea Strait
chokepoint15,Lombok Strait
chokepoint14,Luzon Strait
chokepoint21,Magellan Strait
chokepoint20,Makassar Strait
chokepoint5,Malacca Strait
chokepoint27,Mindoro Strait
chokepoint24,Mona Passage
chokepoint16,Ombai Strait
chokepoint10,Oresund Strait
chokepoint2,Panama Canal
chokepoint6,Strait of Hormuz
chokepoint1,Suez Canal
chokepoint19,Sunda Strait
chokepoint11,Taiwan Strait
chokepoint18,Torres Strait
chokepoint13,Tsugaru Strait
chokepoint23,Windward Passage
chokepoint22,Yucatan Channel
