port_id,port_name
port2187,Aamchit
port0,Abbot Point
port2,Aberdeen
port10,Agadir
port12,Aiyion
port13,Ajman
port14,Akita
port15,Ako
port16,Aktau Port
port17,Akureyri
port20,Al Basrah
port22,Al Hamriyah LPG Terminal
port1117,Al Ruwais
port2254,Albany
port2078,Alexandroupoli
port2048,Almirante
port2049,Ambarli
port2208,Amlan
port2162,Amurang
fso52,Angola - Offshore Oil Terminal 1
fso53,Angola - Offshore Oil Terminal 2
fso54,Angola - Offshore Oil Terminal 3
fso55,Angola - Offshore Oil Terminal 4
fso56,Angola - Offshore Oil Terminal 5
fso57,Angola - Offshore Oil Terminal 6
fso58,Angola - Offshore Oil Terminal 7
port2050,Angra Dos Reis
port2229,Anping
port2137,Antifer
port19,Aqaba
port2145,Atherinolakos
fso59,Australia - Offshore Oil Terminal 1
fso60,Australia - Offshore Oil Terminal 2
fso61,Australia - Offshore Oil Terminal 3
fso62,Australia - Offshore Oil Terminal 4
fso63,Australia - Offshore Oil Terminal 5
port2010,Azov
port1048,Bahia Blanca
port2195,Baie De Prony
port100,Baku Port
port2210,Balayan
port101,Balboa
port102,Balikpapan
port103,Baltimore
port104,Baltiysk
port2120,Banana
port107,Bandar Abbas
port108,Bandar Khomeini
port106,Bandar Shahid Rajaee
port105,Bandar-E Pars Terminal
port109,Bandirma
port111,Bangkok
fso64,Bangladesh - Offshore Oil Terminal 1
port2228,Baniyas
port112,Banjarmasin
port113,Banjul
port114,Banten
port2023,Bantry Bay
port116,Bar
port2127,Barahona
port117,Barbor's Point
port118,Barcelona
port119,Bari
port120,Barranquilla
port121,Barry
port2225,Bashayer
port122,Basseterre
port123,Basuo
port124,Bata
port125,Batangas City
port126,Baton Rouge
port127,Batumi
port128,Baubau
port129,Bautino
port130,Bay City
port131,Bayonne
port1026,Bayovar
port133,Bayuquan
port134,Beaumont
port136,Beihai
port137,Beira
port132,Beirut
port138,Bejaia
port139,Belawan
port141,Belfast
port142,Belize City
port143,Bellingham
port140,Belém
port110,Benghazi
port144,Benicia
port145,Benoa
port146,Berbera
port135,Berdyansk
port147,Bergen
port2136,Berre
port1276,Betio (Tarawa)
port2201,Bialla
port148,Big Creek
port2193,Bijela
port1038,Bilbao
port2077,Bilhorod-Dnistrovskyi
port149,Bintulu
port150,Bissau
port151,Bitung
port115,Bizerte
port152,Blanglancang
port153,Bluff Harbor
port155,Bonny
port156,Bontang LNG Terminal
port158,Bordeaux
port2043,Borusan
port157,Bossaso
port159,Boston
port160,Boston
port162,Botas
port163,Botas Natural Gas Terminal
port164,Brades
port2009,Braila
port165,Brake
fso0,Brazil - Offshore Oil Terminal 1
fso1,Brazil - Offshore Oil Terminal 10
fso2,Brazil - Offshore Oil Terminal 11
fso3,Brazil - Offshore Oil Terminal 12
fso4,Brazil - Offshore Oil Terminal 13
fso5,Brazil - Offshore Oil Terminal 14
fso6,Brazil - Offshore Oil Terminal 15
fso7,Brazil - Offshore Oil Terminal 16
fso8,Brazil - Offshore Oil Terminal 17
fso9,Brazil - Offshore Oil Terminal 18
fso10,Brazil - Offshore Oil Terminal 19
fso11,Brazil - Offshore Oil Terminal 2
fso12,Brazil - Offshore Oil Terminal 20
